tac_doc_id,tac_sentence_id,sentence,indexed_tokens,subj_start,subj_end,obj_start,obj_end,assessment,alt_subj_start,alt_subj_end,alt_obj_start,alt_obj_end
LTW_ENG_20071113.0131.LDC2009T13,61b3a0af8f26cc10f19d,"The family arrived in Los Angeles soon after World War I, when Hawkins was 11.","[(0, 'The'), (1, 'family'), (2, 'arrived'), (3, 'in'), (4, 'Los'), (5, 'Angeles'), (6, 'soon'), (7, 'after'), (8, 'World'), (9, 'War'), (10, 'I'), (11, ','), (12, 'when'), (13, 'Hawkins'), (14, 'was'), (15, '11'), (16, '.')]",13,13,4,5,,,,,
AFP_ENG_20070220.0682.LDC2009T13,61b3a0af8fb5305842ef,"Born in Louisiana in 1958, DeGeneres began her career as a stand - up comic in New Orleans before graduating to television in the early 1980s, where she was soon appearing regularly on late-night shows.","[(0, 'Born'), (1, 'in'), (2, 'Louisiana'), (3, 'in'), (4, '1958'), (5, ','), (6, 'DeGeneres'), (7, 'began'), (8, 'her'), (9, 'career'), (10, 'as'), (11, 'a'), (12, 'stand'), (13, '-'), (14, 'up'), (15, 'comic'), (16, 'in'), (17, 'New'), (18, 'Orleans'), (19, 'before'), (20, 'graduating'), (21, 'to'), (22, 'television'), (23, 'in'), (24, 'the'), (25, 'early'), (26, '1980s'), (27, ','), (28, 'where'), (29, 'she'), (30, 'was'), (31, 'soon'), (32, 'appearing'), (33, 'regularly'), (34, 'on'), (35, 'late-night'), (36, 'shows'), (37, '.')]",6,6,17,18,,,,,
eng-WL-11-174595-12968277,61b3a0af8fb437e75ddb,"Yesterday we saw pictures of Jennifer Aniston's new dude Paul Sculfor doing the ""walk of shame"" out of her Malibu, CA home earlier this week and today we've got a couple pictures of Jen trying to also sneak out of her place shortly thereafter as if nothing at all were going on between the two :","[(0, 'Yesterday'), (1, 'we'), (2, 'saw'), (3, 'pictures'), (4, 'of'), (5, 'Jennifer'), (6, 'Aniston'), (7, ""'s""), (8, 'new'), (9, 'dude'), (10, 'Paul'), (11, 'Sculfor'), (12, 'doing'), (13, 'the'), (14, '``'), (15, 'walk'), (16, 'of'), (17, 'shame'), (18, ""''""), (19, 'out'), (20, 'of'), (21, 'her'), (22, 'Malibu'), (23, ','), (24, 'CA'), (25, 'home'), (26, 'earlier'), (27, 'this'), (28, 'week'), (29, 'and'), (30, 'today'), (31, 'we'), (32, ""'ve""), (33, 'got'), (34, 'a'), (35, 'couple'), (36, 'pictures'), (37, 'of'), (38, 'Jen'), (39, 'trying'), (40, 'to'), (41, 'also'), (42, 'sneak'), (43, 'out'), (44, 'of'), (45, 'her'), (46, 'place'), (47, 'shortly'), (48, 'thereafter'), (49, 'as'), (50, 'if'), (51, 'nothing'), (52, 'at'), (53, 'all'), (54, 'were'), (55, 'going'), (56, 'on'), (57, 'between'), (58, 'the'), (59, 'two'), (60, ':')]",10,11,22,22,,,,,
LTW_ENG_20070424.0164.LDC2009T13,61b3a0af8fe5375a56af,"Crisp, who lived in Washington, DC, for 28 years until moving back to Arizona in 2005, helped found the National Republican Coalition for Choice after the US Supreme Court's 1989 ruling upholding some state restrictions on abortions.","[(0, 'Crisp'), (1, ','), (2, 'who'), (3, 'lived'), (4, 'in'), (5, 'Washington'), (6, ','), (7, 'DC'), (8, ','), (9, 'for'), (10, '28'), (11, 'years'), (12, 'until'), (13, 'moving'), (14, 'back'), (15, 'to'), (16, 'Arizona'), (17, 'in'), (18, '2005'), (19, ','), (20, 'helped'), (21, 'found'), (22, 'the'), (23, 'National'), (24, 'Republican'), (25, 'Coalition'), (26, 'for'), (27, 'Choice'), (28, 'after'), (29, 'the'), (30, 'US'), (31, 'Supreme'), (32, 'Court'), (33, ""'s""), (34, '1989'), (35, 'ruling'), (36, 'upholding'), (37, 'some'), (38, 'state'), (39, 'restrictions'), (40, 'on'), (41, 'abortions'), (42, '.')]",0,0,5,7,,,,,
APW_ENG_20070201.0905.LDC2009T13,61b3a0af8fd79afc0e2b,"In another case, Steinmeier faces a March 8 date to testify before a parliamentary committee about Murat Kurnaz, a German - born Turk from Bremen held for more than four years at Guantanamo Bay and freed last year after Merkel intervened.","[(0, 'In'), (1, 'another'), (2, 'case'), (3, ','), (4, 'Steinmeier'), (5, 'faces'), (6, 'a'), (7, 'March'), (8, '8'), (9, 'date'), (10, 'to'), (11, 'testify'), (12, 'before'), (13, 'a'), (14, 'parliamentary'), (15, 'committee'), (16, 'about'), (17, 'Murat'), (18, 'Kurnaz'), (19, ','), (20, 'a'), (21, 'German'), (22, '-'), (23, 'born'), (24, 'Turk'), (25, 'from'), (26, 'Bremen'), (27, 'held'), (28, 'for'), (29, 'more'), (30, 'than'), (31, 'four'), (32, 'years'), (33, 'at'), (34, 'Guantanamo'), (35, 'Bay'), (36, 'and'), (37, 'freed'), (38, 'last'), (39, 'year'), (40, 'after'), (41, 'Merkel'), (42, 'intervened'), (43, '.')]",17,18,26,26,,,,,
eng-WL-11-174592-12942323,61b3a0af8f6eb3e97836,"TELEVISIONISTANet Entertainment Exposed Sculfor, who was discovered by the London-based Select modeling agency lives in Los Angeles and is under contract with New York Model Management.","[(0, 'TELEVISIONISTANet'), (1, 'Entertainment'), (2, 'Exposed'), (3, 'Sculfor'), (4, ','), (5, 'who'), (6, 'was'), (7, 'discovered'), (8, 'by'), (9, 'the'), (10, 'London-based'), (11, 'Select'), (12, 'modeling'), (13, 'agency'), (14, 'lives'), (15, 'in'), (16, 'Los'), (17, 'Angeles'), (18, 'and'), (19, 'is'), (20, 'under'), (21, 'contract'), (22, 'with'), (23, 'New'), (24, 'York'), (25, 'Model'), (26, 'Management'), (27, '.')]",3,3,16,17,,,,,
LTW_ENG_20080222.0092.LDC2009T13,61b3a0af8fd24a221648,"""We're an organization that has continually ignored the people whom we have trained and groomed ,"" said Alice Huffman, a board member from Sacramento, Calif., who ran against Bond last weekend, losing 30-21.","[(0, '``'), (1, 'We'), (2, ""'re""), (3, 'an'), (4, 'organization'), (5, 'that'), (6, 'has'), (7, 'continually'), (8, 'ignored'), (9, 'the'), (10, 'people'), (11, 'whom'), (12, 'we'), (13, 'have'), (14, 'trained'), (15, 'and'), (16, 'groomed'), (17, ','), (18, ""''""), (19, 'said'), (20, 'Alice'), (21, 'Huffman'), (22, ','), (23, 'a'), (24, 'board'), (25, 'member'), (26, 'from'), (27, 'Sacramento'), (28, ','), (29, 'Calif.'), (30, ','), (31, 'who'), (32, 'ran'), (33, 'against'), (34, 'Bond'), (35, 'last'), (36, 'weekend'), (37, ','), (38, 'losing'), (39, '30-21'), (40, '.')]",34,34,27,27,,,,,
NYT_ENG_20071002.0030.LDC2009T13,61b3a0af8fc93e4aba0c,"Harry Shuler Dent, grew up in St. Matthews, S.C., and graduated cum laude from Presbyterian College in Clinton, S.C., in 1951.","[(0, 'Harry'), (1, 'Shuler'), (2, 'Dent'), (3, ','), (4, 'grew'), (5, 'up'), (6, 'in'), (7, 'St.'), (8, 'Matthews'), (9, ','), (10, 'S.C.'), (11, ','), (12, 'and'), (13, 'graduated'), (14, 'cum'), (15, 'laude'), (16, 'from'), (17, 'Presbyterian'), (18, 'College'), (19, 'in'), (20, 'Clinton'), (21, ','), (22, 'S.C.'), (23, ','), (24, 'in'), (25, '1951'), (26, '.')]",0,2,7,8,,,,,
NYT_ENG_20070404.0091.LDC2009T13,61b3a0af8f6313b7207c,"When Pamela Ahearn was entrusted to fly across the country to Los Angeles carrying millions of dollars worth of jewelry belonging to Elizabeth Taylor, then the wife of US Senator John Warner, Mrs. Ahearn dressed plainly for fear of attracting the attention of thieves.","[(0, 'When'), (1, 'Pamela'), (2, 'Ahearn'), (3, 'was'), (4, 'entrusted'), (5, 'to'), (6, 'fly'), (7, 'across'), (8, 'the'), (9, 'country'), (10, 'to'), (11, 'Los'), (12, 'Angeles'), (13, 'carrying'), (14, 'millions'), (15, 'of'), (16, 'dollars'), (17, 'worth'), (18, 'of'), (19, 'jewelry'), (20, 'belonging'), (21, 'to'), (22, 'Elizabeth'), (23, 'Taylor'), (24, ','), (25, 'then'), (26, 'the'), (27, 'wife'), (28, 'of'), (29, 'US'), (30, 'Senator'), (31, 'John'), (32, 'Warner'), (33, ','), (34, 'Mrs.'), (35, 'Ahearn'), (36, 'dressed'), (37, 'plainly'), (38, 'for'), (39, 'fear'), (40, 'of'), (41, 'attracting'), (42, 'the'), (43, 'attention'), (44, 'of'), (45, 'thieves'), (46, '.')]",1,2,11,12,,,,,
NYT_ENG_20070102.0131.LDC2009T13,61b3a0af8f7dbab83954,"When a coalition on the city council elected him mayor in 1965, he went to Jerusalem's best tailor and ordered smart olive-green uniforms for the sanitation inspectors.","[(0, 'When'), (1, 'a'), (2, 'coalition'), (3, 'on'), (4, 'the'), (5, 'city'), (6, 'council'), (7, 'elected'), (8, 'him'), (9, 'mayor'), (10, 'in'), (11, '1965'), (12, ','), (13, 'he'), (14, 'went'), (15, 'to'), (16, 'Jerusalem'), (17, ""'s""), (18, 'best'), (19, 'tailor'), (20, 'and'), (21, 'ordered'), (22, 'smart'), (23, 'olive-green'), (24, 'uniforms'), (25, 'for'), (26, 'the'), (27, 'sanitation'), (28, 'inspectors'), (29, '.')]",8,8,16,16,,,,,
NYT_ENG_20081128.0138.LDC2009T13,61b3a0af8f7c93c466e6,"Appealing the ruling under Crist is the Department of Children and Families, led by George Sheldon, a lifelong Democrat from Tampa who supported equal rights for gays and lesbians as a state legislator in the 1980s.","[(0, 'Appealing'), (1, 'the'), (2, 'ruling'), (3, 'under'), (4, 'Crist'), (5, 'is'), (6, 'the'), (7, 'Department'), (8, 'of'), (9, 'Children'), (10, 'and'), (11, 'Families'), (12, ','), (13, 'led'), (14, 'by'), (15, 'George'), (16, 'Sheldon'), (17, ','), (18, 'a'), (19, 'lifelong'), (20, 'Democrat'), (21, 'from'), (22, 'Tampa'), (23, 'who'), (24, 'supported'), (25, 'equal'), (26, 'rights'), (27, 'for'), (28, 'gays'), (29, 'and'), (30, 'lesbians'), (31, 'as'), (32, 'a'), (33, 'state'), (34, 'legislator'), (35, 'in'), (36, 'the'), (37, '1980s'), (38, '.')]",15,16,22,22,,,,,
eng-WL-11-174611-12980791,61b3a0af8fe4416f4cf6,"Teenage defendant Brandon McInerney of Oxnard is charged with first-degree murder and a hate crime in connection with the Feb 12 killing of classmate Larry King , 15, who sometimes wore makeup and told friends he was gay.","[(0, 'Teenage'), (1, 'defendant'), (2, 'Brandon'), (3, 'McInerney'), (4, 'of'), (5, 'Oxnard'), (6, 'is'), (7, 'charged'), (8, 'with'), (9, 'first-degree'), (10, 'murder'), (11, 'and'), (12, 'a'), (13, 'hate'), (14, 'crime'), (15, 'in'), (16, 'connection'), (17, 'with'), (18, 'the'), (19, 'Feb'), (20, '12'), (21, 'killing'), (22, 'of'), (23, 'classmate'), (24, 'Larry'), (25, 'King'), (26, ','), (27, '15'), (28, ','), (29, 'who'), (30, 'sometimes'), (31, 'wore'), (32, 'makeup'), (33, 'and'), (34, 'told'), (35, 'friends'), (36, 'he'), (37, 'was'), (38, 'gay'), (39, '.')]",2,3,5,5,,,,,
LTW_ENG_20070409.0039.LDC2009T13,61b3a0af8f9e5d0fed2f,"In 1983, Ahearn was part of the advance team arranging the Group of Seven Summit in Williamsburg, Va. .","[(0, 'In'), (1, '1983'), (2, ','), (3, 'Ahearn'), (4, 'was'), (5, 'part'), (6, 'of'), (7, 'the'), (8, 'advance'), (9, 'team'), (10, 'arranging'), (11, 'the'), (12, 'Group'), (13, 'of'), (14, 'Seven'), (15, 'Summit'), (16, 'in'), (17, 'Williamsburg'), (18, ','), (19, 'Va.'), (20, '.')]",3,3,17,17,,,,,
eng-WL-11-174584-12960757,61b3a0af8fd0891f02b3,"Having received early roses in the two prior weeks of televised competition for the final rose and possibly even a marriage proposal from 31-year-old Dallas pilot Jake Pavelka, southwest Nebraska native Elizabeth ` Beth' Kitt found herself rose-less on this week's episode of ` The Bachelor . '","[(0, 'Having'), (1, 'received'), (2, 'early'), (3, 'roses'), (4, 'in'), (5, 'the'), (6, 'two'), (7, 'prior'), (8, 'weeks'), (9, 'of'), (10, 'televised'), (11, 'competition'), (12, 'for'), (13, 'the'), (14, 'final'), (15, 'rose'), (16, 'and'), (17, 'possibly'), (18, 'even'), (19, 'a'), (20, 'marriage'), (21, 'proposal'), (22, 'from'), (23, '31-year-old'), (24, 'Dallas'), (25, 'pilot'), (26, 'Jake'), (27, 'Pavelka'), (28, ','), (29, 'southwest'), (30, 'Nebraska'), (31, 'native'), (32, 'Elizabeth'), (33, '`'), (34, 'Beth'), (35, ""'""), (36, 'Kitt'), (37, 'found'), (38, 'herself'), (39, 'rose-less'), (40, 'on'), (41, 'this'), (42, 'week'), (43, ""'s""), (44, 'episode'), (45, 'of'), (46, '`'), (47, 'The'), (48, 'Bachelor'), (49, '.'), (50, ""'"")]",26,27,24,24,,,,,
eng-WL-11-174611-12985283,61b3a0af8f9582cd5307,Sandy had agreed to meet one of his attackers on a street corner in Sheepshead Bay.,"[(0, 'Sandy'), (1, 'had'), (2, 'agreed'), (3, 'to'), (4, 'meet'), (5, 'one'), (6, 'of'), (7, 'his'), (8, 'attackers'), (9, 'on'), (10, 'a'), (11, 'street'), (12, 'corner'), (13, 'in'), (14, 'Sheepshead'), (15, 'Bay'), (16, '.')]",0,0,14,15,,,,,
LTW_ENG_20071223.0009.LDC2009T13,61b3a0af8ff61db2d3bd,"""Last time, it was easy ,"" sighed Abdul Jalil Jan, a 50-year-old cleric who is running to represent Peshawar, the capital of North-West Frontier Province, in the National Assembly.","[(0, '``'), (1, 'Last'), (2, 'time'), (3, ','), (4, 'it'), (5, 'was'), (6, 'easy'), (7, ','), (8, ""''""), (9, 'sighed'), (10, 'Abdul'), (11, 'Jalil'), (12, 'Jan'), (13, ','), (14, 'a'), (15, '50-year-old'), (16, 'cleric'), (17, 'who'), (18, 'is'), (19, 'running'), (20, 'to'), (21, 'represent'), (22, 'Peshawar'), (23, ','), (24, 'the'), (25, 'capital'), (26, 'of'), (27, 'North-West'), (28, 'Frontier'), (29, 'Province'), (30, ','), (31, 'in'), (32, 'the'), (33, 'National'), (34, 'Assembly'), (35, '.')]",10,12,22,22,,,,,
NYT_ENG_20071210.0041.LDC2009T13,61b3a0af8f49a659f79d,"Besides his brother, of Minneapolis, Nolte is survived by his wife of 62 years, the former Jeanne McQuarrie; four sons, Charles, of Fairfield, Conn.; Roger, of Gilbertsville, Pa.; Douglas, of San Francisco; and Jameson, of Denver; two sisters, Mimi Krebs of Marblehead, Mass., and Jacqueline Jones of Minnetonka, Minn.; and nine grandchildren.","[(0, 'Besides'), (1, 'his'), (2, 'brother'), (3, ','), (4, 'of'), (5, 'Minneapolis'), (6, ','), (7, 'Nolte'), (8, 'is'), (9, 'survived'), (10, 'by'), (11, 'his'), (12, 'wife'), (13, 'of'), (14, '62'), (15, 'years'), (16, ','), (17, 'the'), (18, 'former'), (19, 'Jeanne'), (20, 'McQuarrie'), (21, ';'), (22, 'four'), (23, 'sons'), (24, ','), (25, 'Charles'), (26, ','), (27, 'of'), (28, 'Fairfield'), (29, ','), (30, 'Conn.'), (31, ';'), (32, 'Roger'), (33, ','), (34, 'of'), (35, 'Gilbertsville'), (36, ','), (37, 'Pa.'), (38, ';'), (39, 'Douglas'), (40, ','), (41, 'of'), (42, 'San'), (43, 'Francisco'), (44, ';'), (45, 'and'), (46, 'Jameson'), (47, ','), (48, 'of'), (49, 'Denver'), (50, ';'), (51, 'two'), (52, 'sisters'), (53, ','), (54, 'Mimi'), (55, 'Krebs'), (56, 'of'), (57, 'Marblehead'), (58, ','), (59, 'Mass.'), (60, ','), (61, 'and'), (62, 'Jacqueline'), (63, 'Jones'), (64, 'of'), (65, 'Minnetonka'), (66, ','), (67, 'Minn.'), (68, ';'), (69, 'and'), (70, 'nine'), (71, 'grandchildren'), (72, '.')]",11,11,5,5,,,,,
LTW_ENG_20071202.0052.LDC2009T13,61b3a0af8f20185ca508,"After the war, Herrera worked as a leather artisan in Phoenix, where an elementary school was named in his honor; he moved to nearby Glendale after retiring in the late 1970s.","[(0, 'After'), (1, 'the'), (2, 'war'), (3, ','), (4, 'Herrera'), (5, 'worked'), (6, 'as'), (7, 'a'), (8, 'leather'), (9, 'artisan'), (10, 'in'), (11, 'Phoenix'), (12, ','), (13, 'where'), (14, 'an'), (15, 'elementary'), (16, 'school'), (17, 'was'), (18, 'named'), (19, 'in'), (20, 'his'), (21, 'honor'), (22, ';'), (23, 'he'), (24, 'moved'), (25, 'to'), (26, 'nearby'), (27, 'Glendale'), (28, 'after'), (29, 'retiring'), (30, 'in'), (31, 'the'), (32, 'late'), (33, '1970s'), (34, '.')]",4,4,27,27,,,,,
NYT_ENG_20080505.0179.LDC2009T13,61b3a0af8ff48d340e24,"In Indianapolis, Rep. Andre Carson, a Democrat who won a special election in March to succeed his grandmother, the late Julia Carson, has serious challengers for his seat in the 7th Congressional District.","[(0, 'In'), (1, 'Indianapolis'), (2, ','), (3, 'Rep.'), (4, 'Andre'), (5, 'Carson'), (6, ','), (7, 'a'), (8, 'Democrat'), (9, 'who'), (10, 'won'), (11, 'a'), (12, 'special'), (13, 'election'), (14, 'in'), (15, 'March'), (16, 'to'), (17, 'succeed'), (18, 'his'), (19, 'grandmother'), (20, ','), (21, 'the'), (22, 'late'), (23, 'Julia'), (24, 'Carson'), (25, ','), (26, 'has'), (27, 'serious'), (28, 'challengers'), (29, 'for'), (30, 'his'), (31, 'seat'), (32, 'in'), (33, 'the'), (34, '7th'), (35, 'Congressional'), (36, 'District'), (37, '.')]",4,5,1,1,,,,,
APW_ENG_20090620.0009,61b3a0af8f73b1bcdfe9,"Her group was small and unorganized, with about 14 members and no formal meetings or activities, said Chuck Stonex, a former group member from Alamagordo, New Mexico, who severed his ties to the organization following Forde's arrest.","[(0, 'Her'), (1, 'group'), (2, 'was'), (3, 'small'), (4, 'and'), (5, 'unorganized'), (6, ','), (7, 'with'), (8, 'about'), (9, '14'), (10, 'members'), (11, 'and'), (12, 'no'), (13, 'formal'), (14, 'meetings'), (15, 'or'), (16, 'activities'), (17, ','), (18, 'said'), (19, 'Chuck'), (20, 'Stonex'), (21, ','), (22, 'a'), (23, 'former'), (24, 'group'), (25, 'member'), (26, 'from'), (27, 'Alamagordo'), (28, ','), (29, 'New'), (30, 'Mexico'), (31, ','), (32, 'who'), (33, 'severed'), (34, 'his'), (35, 'ties'), (36, 'to'), (37, 'the'), (38, 'organization'), (39, 'following'), (40, 'Forde'), (41, ""'s""), (42, 'arrest'), (43, '.')]",34,34,27,27,,,,,
APW_ENG_20070515.1673.LDC2009T13,61b3a0af8fd48a44fa47,"2007-05-15 22:05:36 UTC - Donald Wildmon , 69, a Methodist minister, founder and chairman of the American Family Association in Tupelo, Miss","[(0, '2007-05-15'), (1, '22:05:36'), (2, 'UTC'), (3, '--'), (4, 'Donald'), (5, 'Wildmon'), (6, ','), (7, '69'), (8, ','), (9, 'a'), (10, 'Methodist'), (11, 'minister'), (12, ','), (13, 'founder'), (14, 'and'), (15, 'chairman'), (16, 'of'), (17, 'the'), (18, 'American'), (19, 'Family'), (20, 'Association'), (21, 'in'), (22, 'Tupelo'), (23, ','), (24, 'Miss')]",4,5,22,22,,,,,
NYT_ENG_20101109.0049,61b3a0af8fc14b2f8e64,Black grew up in Chicago and attended Catholic schools.,"[(0, 'Black'), (1, 'grew'), (2, 'up'), (3, 'in'), (4, 'Chicago'), (5, 'and'), (6, 'attended'), (7, 'Catholic'), (8, 'schools'), (9, '.')]",0,0,4,4,,,,,
eng-WL-11-174592-12942309,61b3a0af8ffabb8dde66,"The focus of today's Daily Eye Candy is the 22-year old fashion supermodel Chad White who is a native of Portland, Oregon.","[(0, 'The'), (1, 'focus'), (2, 'of'), (3, 'today'), (4, ""'s""), (5, 'Daily'), (6, 'Eye'), (7, 'Candy'), (8, 'is'), (9, 'the'), (10, '22-year'), (11, 'old'), (12, 'fashion'), (13, 'supermodel'), (14, 'Chad'), (15, 'White'), (16, 'who'), (17, 'is'), (18, 'a'), (19, 'native'), (20, 'of'), (21, 'Portland'), (22, ','), (23, 'Oregon'), (24, '.')]",14,15,21,21,,,,,
eng-WL-11-174592-12941952,61b3a0af8f2d5c64a8f4,"The 22-year old native of Portland, Oregon played baseball in college and was drafted for Major League Baseball.","[(0, 'The'), (1, '22-year'), (2, 'old'), (3, 'native'), (4, 'of'), (5, 'Portland'), (6, ','), (7, 'Oregon'), (8, 'played'), (9, 'baseball'), (10, 'in'), (11, 'college'), (12, 'and'), (13, 'was'), (14, 'drafted'), (15, 'for'), (16, 'Major'), (17, 'League'), (18, 'Baseball'), (19, '.')]",0,2,5,5,,,,,
LTW_ENG_20070531.0078.LDC2009T13,61b3a0af8f8f2dd603da,"Parren J. Mitchell, a Baltimore civil rights activist who became Maryland's first black member of Congress in 1970, died May 28 of complications from pneumonia at Greater Baltimore Medical Center.","[(0, 'Parren'), (1, 'J.'), (2, 'Mitchell'), (3, ','), (4, 'a'), (5, 'Baltimore'), (6, 'civil'), (7, 'rights'), (8, 'activist'), (9, 'who'), (10, 'became'), (11, 'Maryland'), (12, ""'s""), (13, 'first'), (14, 'black'), (15, 'member'), (16, 'of'), (17, 'Congress'), (18, 'in'), (19, '1970'), (20, ','), (21, 'died'), (22, 'May'), (23, '28'), (24, 'of'), (25, 'complications'), (26, 'from'), (27, 'pneumonia'), (28, 'at'), (29, 'Greater'), (30, 'Baltimore'), (31, 'Medical'), (32, 'Center'), (33, '.')]",0,2,5,5,,,,,
APW_ENG_20100127.1043,61b3a0af8f8f419c4319,"Boyle, who shot to international stardom on the back of her appearance on a TV talent show last spring, saw a youth run out from her home in the small Scottish village of Blackburn as she returned Tuesday night from recording a charity single for Haiti, The Sun tabloid said.","[(0, 'Boyle'), (1, ','), (2, 'who'), (3, 'shot'), (4, 'to'), (5, 'international'), (6, 'stardom'), (7, 'on'), (8, 'the'), (9, 'back'), (10, 'of'), (11, 'her'), (12, 'appearance'), (13, 'on'), (14, 'a'), (15, 'TV'), (16, 'talent'), (17, 'show'), (18, 'last'), (19, 'spring'), (20, ','), (21, 'saw'), (22, 'a'), (23, 'youth'), (24, 'run'), (25, 'out'), (26, 'from'), (27, 'her'), (28, 'home'), (29, 'in'), (30, 'the'), (31, 'small'), (32, 'Scottish'), (33, 'village'), (34, 'of'), (35, 'Blackburn'), (36, 'as'), (37, 'she'), (38, 'returned'), (39, 'Tuesday'), (40, 'night'), (41, 'from'), (42, 'recording'), (43, 'a'), (44, 'charity'), (45, 'single'), (46, 'for'), (47, 'Haiti'), (48, ','), (49, 'The'), (50, 'Sun'), (51, 'tabloid'), (52, 'said'), (53, '.')]",37,37,35,35,,,,,
eng-NG-31-142091-9997468,61b3a0af8f82a57a3991,"Mr. DeBlanc, a native of Lockport, La., left active military service after the war, received a doctorate in education from McNeese State University and taught mathematics and science in St. Martinville.","[(0, 'Mr.'), (1, 'DeBlanc'), (2, ','), (3, 'a'), (4, 'native'), (5, 'of'), (6, 'Lockport'), (7, ','), (8, 'La.'), (9, ','), (10, 'left'), (11, 'active'), (12, 'military'), (13, 'service'), (14, 'after'), (15, 'the'), (16, 'war'), (17, ','), (18, 'received'), (19, 'a'), (20, 'doctorate'), (21, 'in'), (22, 'education'), (23, 'from'), (24, 'McNeese'), (25, 'State'), (26, 'University'), (27, 'and'), (28, 'taught'), (29, 'mathematics'), (30, 'and'), (31, 'science'), (32, 'in'), (33, 'St.'), (34, 'Martinville'), (35, '.')]",1,1,33,34,,,,,
AFP_ENG_20081105.0662.LDC2009T13,61b3a0af8f00657e8ff7,"A prominent conservative MP for Tehran, Gholam Ali Haddad Adel, saw the Democrat's victory as the result of the failed policies of Bush over the past eight years.","[(0, 'A'), (1, 'prominent'), (2, 'conservative'), (3, 'MP'), (4, 'for'), (5, 'Tehran'), (6, ','), (7, 'Gholam'), (8, 'Ali'), (9, 'Haddad'), (10, 'Adel'), (11, ','), (12, 'saw'), (13, 'the'), (14, 'Democrat'), (15, ""'s""), (16, 'victory'), (17, 'as'), (18, 'the'), (19, 'result'), (20, 'of'), (21, 'the'), (22, 'failed'), (23, 'policies'), (24, 'of'), (25, 'Bush'), (26, 'over'), (27, 'the'), (28, 'past'), (29, 'eight'), (30, 'years'), (31, '.')]",7,10,5,5,,,,,
NYT_ENG_20010114.0116.LDC2007T07,61b3a0af8fb613be4f26,"Middle Eastern and US officials describe him as a pivotal figure in the bin Laden network, a trusted militant who assigned candidates screened at his guest house in Peshawar, Pakistan, to the dozen or so Afghan camps financed and run by bin Laden.","[(0, 'Middle'), (1, 'Eastern'), (2, 'and'), (3, 'US'), (4, 'officials'), (5, 'describe'), (6, 'him'), (7, 'as'), (8, 'a'), (9, 'pivotal'), (10, 'figure'), (11, 'in'), (12, 'the'), (13, 'bin'), (14, 'Laden'), (15, 'network'), (16, ','), (17, 'a'), (18, 'trusted'), (19, 'militant'), (20, 'who'), (21, 'assigned'), (22, 'candidates'), (23, 'screened'), (24, 'at'), (25, 'his'), (26, 'guest'), (27, 'house'), (28, 'in'), (29, 'Peshawar'), (30, ','), (31, 'Pakistan'), (32, ','), (33, 'to'), (34, 'the'), (35, 'dozen'), (36, 'or'), (37, 'so'), (38, 'Afghan'), (39, 'camps'), (40, 'financed'), (41, 'and'), (42, 'run'), (43, 'by'), (44, 'bin'), (45, 'Laden'), (46, '.')]",6,6,29,29,,,,,
NYT_ENG_20070104.0161.LDC2009T13,61b3a0af8f90fbfe25f5,"Survivors include a daughter, Peggy ""Happy"" Verity Power of Edwards, Colo; two sons, Jonathan George Verity and William Wymond Verity of Beaufort; two sisters, Betsy Verity Blakey of Columbus, Ohio, and Jean Verity Woodhull of Dayton, Ohio; seven grandchildren; and four great-grandchildren.","[(0, 'Survivors'), (1, 'include'), (2, 'a'), (3, 'daughter'), (4, ','), (5, 'Peggy'), (6, '``'), (7, 'Happy'), (8, ""''""), (9, 'Verity'), (10, 'Power'), (11, 'of'), (12, 'Edwards'), (13, ','), (14, 'Colo'), (15, ';'), (16, 'two'), (17, 'sons'), (18, ','), (19, 'Jonathan'), (20, 'George'), (21, 'Verity'), (22, 'and'), (23, 'William'), (24, 'Wymond'), (25, 'Verity'), (26, 'of'), (27, 'Beaufort'), (28, ';'), (29, 'two'), (30, 'sisters'), (31, ','), (32, 'Betsy'), (33, 'Verity'), (34, 'Blakey'), (35, 'of'), (36, 'Columbus'), (37, ','), (38, 'Ohio'), (39, ','), (40, 'and'), (41, 'Jean'), (42, 'Verity'), (43, 'Woodhull'), (44, 'of'), (45, 'Dayton'), (46, ','), (47, 'Ohio'), (48, ';'), (49, 'seven'), (50, 'grandchildren'), (51, ';'), (52, 'and'), (53, 'four'), (54, 'great-grandchildren'), (55, '.')]",23,25,27,27,,,,,
eng-WL-11-174611-12978356,61b3a0af8fc0dea0bbe3,"Brandon McInerney, an Oxnard teenager accused of first-degree murder and a hate crime in connection with the shooting of a classmate, today was found competent to stand trial in Ventura County Superior Court.","[(0, 'Brandon'), (1, 'McInerney'), (2, ','), (3, 'an'), (4, 'Oxnard'), (5, 'teenager'), (6, 'accused'), (7, 'of'), (8, 'first-degree'), (9, 'murder'), (10, 'and'), (11, 'a'), (12, 'hate'), (13, 'crime'), (14, 'in'), (15, 'connection'), (16, 'with'), (17, 'the'), (18, 'shooting'), (19, 'of'), (20, 'a'), (21, 'classmate'), (22, ','), (23, 'today'), (24, 'was'), (25, 'found'), (26, 'competent'), (27, 'to'), (28, 'stand'), (29, 'trial'), (30, 'in'), (31, 'Ventura'), (32, 'County'), (33, 'Superior'), (34, 'Court'), (35, '.')]",0,1,4,4,,,,,
